"id","name","image","description"
"6462a6cd4c3d0ddd28897f8a",Seafood,"/images/category-seafood.webp","Set sail on an oceanic flavor voyage, where every bite carries the freshness of the tide and every dish echoes the elegance of coastal cuisine."
"6462a6cd4c3d0ddd28897f8b",Lamb,"/images/category-lamb.webp","Discover a rich culinary harmony, where tender lamb unfolds deep aroma and every plate reveals the warm character of timeless tradition."
"6462a6cd4c3d0ddd28897f8c",Starter,"/images/category-starter.webp","Begin your dining story with inspired first notes, where every starter awakens the senses and sets a vibrant tone for what follows."
"6462a6cd4c3d0ddd28897f8d",Chicken,"/images/category-chicken.webp","Enjoy a comforting spectrum of flavor, where juicy chicken meets fragrant spices and each recipe turns familiar ingredients into pure delight."
"6462a6cd4c3d0ddd28897f8e",Beef,"/images/category-beef.webp","Step into a bold taste experience, where slow-cooked depth and savory intensity transform every beef dish into a memorable centerpiece."
"6462a6cd4c3d0ddd28897f8f",Dessert,"/images/category-desserts.webp","Go on a taste journey, where every sip is a sophisticated creative chord, and every dessert is an expression of the most refined gastronomic desires."
"6462a6cd4c3d0ddd28897f90",Vegan,"/images/category-vegan.webp","Explore plant-powered creativity, where vibrant textures and natural flavors come together in dishes that feel both nourishing and inspired."
"6462a6cd4c3d0ddd28897f91",Pork,"/images/category-pork.webp","Experience hearty culinary craftsmanship, where succulent pork and balanced seasoning create satisfying dishes full of character and warmth."
"6462a6cd4c3d0ddd28897f92",Vegetarian,"/images/category-vegetarian.webp","Celebrate garden-fresh abundance, where colorful produce and thoughtful combinations shape every vegetarian plate into a refined everyday pleasure."
"6462a6cd4c3d0ddd28897f93",Miscellaneous,"/images/category-miscellaneous.webp","Embrace a world of unexpected pairings, where diverse influences and inventive ideas turn each recipe into a surprising gastronomic discovery."
"6462a6cd4c3d0ddd28897f94",Pasta,"/images/category-pasta.webp","Follow the rhythm of Italian comfort, where silky sauces, perfect textures, and aromatic accents make every pasta dish irresistibly soulful."
"6462a6cd4c3d0ddd28897f95",Breakfast,"/images/category-breakfast.webp","Welcome the day with bright morning flavors, where every breakfast plate blends energy, comfort, and a fresh start in every bite."
"6462a6cd4c3d0ddd28897f96",Side,"/images/category-side.webp","Complete your table with crafted companions, where every side dish adds contrast, balance, and a subtle flourish to the main course."
"6462a6cd4c3d0ddd28897f97",Goat,"/images/category-goat.webp","Savor distinctive rustic elegance, where tender goat meat and layered spices come together in recipes that honor heritage and depth."
"6462a6cd4c3d0ddd28897f98",Soup,"/images/category-soup.webp","Warm up with comforting bowls of flavor, where every soup blends aroma, texture, and homely richness into a soothing culinary embrace."
